average,date,highest,lowest,order_count,volume,type_id
653.0,2024-05-01,653.0,653.0,3,14587,62541
653.0,2024-05-02,653.0,653.0,2,98,62541
653.0,2024-05-03,653.0,653.0,7,12709,62541
653.0,2024-05-04,653.0,653.0,4,51432,62541
653.0,2024-05-05,653.0,653.0,2,6255,62541
653.0,2024-05-06,653.0,653.0,3,24410,62541
551.0,2024-05-07,551.0,551.0,5,14765,62541
581.0,2024-05-08,581.0,581.0,4,31760,62541
581.0,2024-05-09,581.0,581.0,8,15384,62541
581.0,2024-05-10,581.0,581.0,3,1823,62541
581.0,2024-05-11,581.0,581.0,3,48600,62541
689.5,2024-05-12,689.5,689.5,10,36580,62541
554.3,2024-05-13,554.3,554.3,2,12684,62541
554.3,2024-05-14,554.3,554.3,6,11994,62541
554.3,2024-05-15,554.3,554.3,2,16524,62541
724.0,2024-05-16,724.0,724.0,18,883443,62541
554.3,2024-05-17,554.3,554.3,4,16324,62541
554.3,2024-05-18,554.3,554.3,2,37389,62541
554.3,2024-05-19,554.3,554.3,6,27353,62541
554.3,2024-05-20,554.3,554.3,4,47153,62541
554.3,2024-05-21,554.3,554.3,5,10547,62541
695.0,2024-05-22,695.0,695.0,3,65701,62541
554.3,2024-05-23,554.3,554.3,3,537,62541
554.3,2024-05-24,554.3,554.3,1,1600,62541
554.3,2024-05-25,554.3,554.3,5,79209,62541
551.0,2024-05-26,551.0,551.0,6,106150,62541
551.0,2024-05-27,551.0,551.0,3,6110,62541
750.0,2024-05-28,750.0,750.0,27,464445,62541
551.0,2024-05-29,551.0,551.0,1,92,62541
551.0,2024-05-30,551.0,551.0,5,36889,62541
551.0,2024-05-31,551.0,551.0,9,43793,62541
551.0,2024-06-01,551.0,551.0,2,1708,62541
551.0,2024-06-02,551.0,551.0,1,8321,62541
551.0,2024-06-03,551.0,551.0,2,28993,62541
698.8,2024-06-04,698.8,698.8,2,14300,62541
695.0,2024-06-05,695.0,695.0,7,22485,62541
400.0,2024-06-06,400.0,400.0,4,8522,62541
400.0,2024-06-07,400.0,400.0,1,29,62541
400.0,2024-06-08,400.0,400.0,7,51318,62541
401.0,2024-06-09,401.0,401.0,5,24006,62541
401.0,2024-06-10,401.0,401.0,4,632,62541
401.0,2024-06-11,401.0,401.0,2,795,62541
450.0,2024-06-12,668.0,444.9,17,235397,62541
402.0,2024-06-13,402.0,402.0,7,77171,62541
660.0,2024-06-14,670.0,659.9,7,143225,62541
402.0,2024-06-15,402.0,402.0,5,7112,62541
402.1,2024-06-16,402.1,402.1,3,17743,62541
644.8,2024-06-17,644.8,644.8,7,50096,62541
644.8,2024-06-18,644.8,644.8,4,199,62541
402.3,2024-06-19,402.3,402.3,2,1209,62541
402.3,2024-06-20,402.3,402.3,1,33156,62541
402.3,2024-06-21,402.3,402.3,9,26633,62541
640.2,2024-06-22,640.2,640.2,6,79858,62541
402.3,2024-06-23,402.3,402.3,3,17402,62541
402.2,2024-06-24,402.2,402.2,3,70926,62541
402.0,2024-06-25,402.0,402.0,9,60153,62541
402.0,2024-06-26,402.0,402.0,6,17596,62541
637.0,2024-06-27,637.0,637.0,11,36457,62541
402.0,2024-06-28,402.0,402.0,3,23838,62541
402.0,2024-06-29,402.0,402.0,2,3295,62541
402.0,2024-06-30,402.0,402.0,9,99119,62541
402.0,2024-07-01,402.0,402.0,3,236,62541
600.0,2024-07-03,600.0,600.0,3,7493,62541
644.0,2024-07-04,644.0,644.0,15,140209,62541
402.4,2024-07-05,402.4,402.4,4,20354,62541
402.0,2024-07-06,402.0,402.0,8,53230,62541
402.1,2024-07-08,402.1,402.1,4,6677,62541
644.0,2024-07-09,644.0,644.0,8,273563,62541
643.9,2024-07-10,643.9,643.9,7,30437,62541
400.0,2024-07-11,400.0,400.0,4,15498,62541
400.0,2024-07-12,400.0,400.0,6,3829,62541
619.0,2024-07-13,619.0,619.0,4,5011,62541
400.0,2024-07-14,400.0,400.0,4,13618,62541
400.0,2024-07-15,400.0,400.0,6,28914,62541
400.0,2024-07-16,400.0,400.0,5,38352,62541
644.0,2024-07-17,644.0,644.0,5,129600,62541
401.7,2024-07-18,401.7,401.7,1,751,62541
401.7,2024-07-19,401.7,401.7,4,13119,62541
402.29,2024-07-20,402.3,402.1,2,33,62541
402.5,2024-07-21,402.5,402.5,2,11546,62541
402.8,2024-07-22,402.8,402.8,6,26368,62541
570.0,2024-07-23,570.0,570.0,7,170933,62541
403.3,2024-07-24,403.3,403.3,2,19684,62541
403.6,2024-07-25,403.6,403.6,4,2714,62541
568.0,2024-07-26,568.0,568.0,5,388420,62541
569.7,2024-07-27,589.8,405.0,13,55902,62541
590.0,2024-07-28,590.0,590.0,10,36118,62541
634.0,2024-07-29,634.0,634.0,5,254762,62541
436.6,2024-07-30,436.6,436.6,5,32533,62541
437.0,2024-07-31,437.0,437.0,4,22335,62541
437.9,2024-08-01,437.9,437.9,2,1591,62541
630.0,2024-08-02,632.0,630.0,11,125190,62541
439.1,2024-08-03,439.1,439.1,3,13226,62541
439.3,2024-08-04,439.3,439.3,9,98142,62541
639.0,2024-08-05,639.0,639.0,14,127009,62541
450.0,2024-08-06,450.0,450.0,4,20103,62541
639.0,2024-08-07,639.0,639.0,11,98846,62541
439.3,2024-08-08,450.3,437.5,8,215295,62541
629.9,2024-08-09,629.9,629.9,2,5000,62541
624.0,2024-08-10,624.0,624.0,6,27780,62541
644.8,2024-08-11,679.95,624.0,23,344166,62541
460.3,2024-08-12,460.3,460.3,1,2500,62541
463.1,2024-08-13,463.1,463.1,2,211,62541
464.3,2024-08-14,464.3,464.3,4,20815,62541
464.4,2024-08-15,464.4,464.4,4,28007,62541
466.3,2024-08-16,466.3,466.3,5,97984,62541
466.3,2024-08-17,466.3,466.3,3,198,62541
466.3,2024-08-18,466.3,466.3,2,643,62541
700.0,2024-08-19,700.0,700.0,7,38332,62541
466.3,2024-08-20,466.3,466.3,5,19994,62541
466.4,2024-08-21,466.4,466.4,5,67156,62541
698.8,2024-08-22,698.8,698.8,3,2200,62541
650.0,2024-08-23,650.0,650.0,5,1331,62541
648.0,2024-08-24,648.0,648.0,7,41259,62541
468.1,2024-08-25,468.1,468.1,2,21976,62541
468.9,2024-08-26,468.9,468.9,1,12,62541
470.2,2024-08-27,470.2,470.2,2,5576,62541
471.2,2024-08-28,471.2,471.2,5,28183,62541
471.2,2024-08-29,471.2,471.2,5,27045,62541
471.6,2024-08-30,471.6,471.6,2,85,62541
471.8,2024-08-31,471.8,471.8,13,59214,62541
473.7,2024-09-01,473.7,473.7,5,17739,62541
598.0,2024-09-02,598.0,598.0,10,178065,62541
475.1,2024-09-03,475.1,475.1,4,24687,62541
598.0,2024-09-04,598.0,598.0,7,34067,62541
599.8,2024-09-05,599.8,599.8,16,222375,62541
475.63,2024-09-06,475.7,475.6,2,47,62541
466.3,2024-09-07,466.3,466.3,4,8329,62541
476.9,2024-09-08,476.9,476.9,14,59663,62541
476.4,2024-09-09,476.4,476.4,6,198,62541
639.0,2024-09-10,648.7,639.0,6,7333,62541
4781.0,2024-09-11,4781.0,4781.0,5,30158,62541
480.0,2024-09-12,480.0,480.0,6,6480,62541
480.1,2024-09-13,480.1,480.1,3,509,62541
615.0,2024-09-14,615.0,615.0,5,16114,62541
647.8,2024-09-15,647.8,647.8,7,29414,62541
647.7,2024-09-16,647.7,647.7,3,169,62541
480.7,2024-09-17,480.7,480.7,4,391911,62541
480.6,2024-09-18,480.6,480.6,3,29105,62541
500.0,2024-09-19,500.0,500.0,11,95519,62541
500.4,2024-09-20,500.4,500.4,13,138278,62541
500.7,2024-09-21,646.7,500.7,8,31441,62541
500.8,2024-09-22,500.8,500.8,1,39,62541
500.9,2024-09-23,500.9,500.9,2,516,62541
501.0,2024-09-24,501.0,501.0,1,429,62541
500.7,2024-09-25,500.7,500.7,3,6576,62541
646.6,2024-09-26,649.0,646.5,17,549622,62541
501.1,2024-09-27,501.1,501.1,6,13362,62541
799.0,2024-09-28,799.0,799.0,5,10327,62541
637.7,2024-09-29,637.7,637.7,3,3588,62541
500.6,2024-09-30,500.6,500.6,1,99,62541
501.2,2024-10-01,501.2,501.2,2,920,62541
501.2,2024-10-02,501.2,501.2,3,46589,62541
501.2,2024-10-03,501.2,501.2,2,4756,62541
501.2,2024-10-05,501.2,501.2,4,35326,62541
501.2,2024-10-06,501.2,501.2,8,13603,62541
500.7,2024-10-07,500.7,500.7,8,34380,62541
500.7,2024-10-08,500.7,500.7,4,294463,62541
500.7,2024-10-09,500.7,500.7,5,108751,62541
500.7,2024-10-10,500.7,500.7,8,16358,62541
497.64,2024-10-11,500.8,483.1,2,56,62541
483.1,2024-10-12,483.1,483.1,6,46146,62541
483.0,2024-10-13,483.0,483.0,6,53071,62541
483.1,2024-10-14,483.1,483.1,1,3165,62541
483.2,2024-10-15,483.7,483.2,6,27394,62541
485.0,2024-10-16,485.0,485.0,8,16873,62541
485.0,2024-10-17,485.0,485.0,3,5689,62541
485.0,2024-10-18,485.0,485.0,2,8694,62541
709.0,2024-10-19,710.0,485.0,12,152813,62541
600.0,2024-10-20,600.0,600.0,4,1393,62541
730.0,2024-10-21,742.6,730.0,12,78545,62541
742.6,2024-10-22,742.6,742.6,12,177830,62541
743.9,2024-10-23,789.0,743.0,11,70113,62541
487.9,2024-10-24,487.9,487.9,3,7745,62541
570.0,2024-10-25,570.0,570.0,5,66274,62541
488.7,2024-10-26,488.7,488.7,4,9443,62541
489.6,2024-10-27,489.6,489.6,4,31147,62541
491.0,2024-10-28,491.0,491.0,11,41056,62541
491.7,2024-10-29,491.7,491.7,3,63886,62541
492.1,2024-10-30,492.1,492.1,1,1600,62541
700.0,2024-10-31,700.0,700.0,6,26928,62541
493.5,2024-11-01,493.5,493.5,5,32629,62541
494.0,2024-11-02,494.0,494.0,6,23707,62541
494.8,2024-11-03,494.8,494.8,4,9697,62541
495.0,2024-11-04,495.0,495.0,3,3804,62541
495.3,2024-11-05,495.3,495.3,2,168,62541
496.1,2024-11-06,496.1,496.1,5,7642,62541
728.8,2024-11-07,728.8,728.8,21,253835,62541
496.5,2024-11-08,496.5,496.5,7,41294,62541
497.0,2024-11-09,497.0,497.0,4,5001,62541
728.6,2024-11-10,728.6,728.6,3,28100,62541
728.0,2024-11-11,728.0,728.0,4,143160,62541
498.6,2024-11-12,498.6,498.6,3,18408,62541
499.1,2024-11-13,728.6,498.5,13,40699,62541
499.1,2024-11-14,499.1,499.1,5,30679,62541
499.9,2024-11-15,499.9,499.9,6,31261,62541
699.0,2024-11-16,700.0,699.0,20,106959,62541
501.3,2024-11-17,501.3,501.3,2,15242,62541
501.4,2024-11-18,701.2,501.3,7,43824,62541
501.4,2024-11-19,550.0,501.3,5,10588,62541
501.4,2024-11-20,501.4,501.4,2,17381,62541
501.6,2024-11-21,501.6,501.6,6,17494,62541
501.6,2024-11-22,501.6,501.6,3,19362,62541
700.0,2024-11-23,700.0,700.0,7,103969,62541
502.6,2024-11-24,502.6,502.6,1,1741,62541
650.0,2024-11-25,650.0,650.0,13,121214,62541
